Unixtime	state	scanDiameter	electrometerN	RHsh	Tsh	Tdsh
1.72E+09	SCAN	497.4457896	3852.593997	48.2	24	12.4
1.72E+09	SCAN	495.4743979	4068.994914	48.2	24	12.3
1.72E+09	SCAN	478.7477081	3779.379166	48.2	24	12.4
1.72E+09	SCAN	476.8864274	3555.328708	48.2	24	12.4
1.72E+09	SCAN	475.0217373	3505.64215	48.2	24	12.4
1.72E+09	SCAN	473.1748063	4039.847419	48.2	24	12.4
1.72E+09	SCAN	471.3377344	3954.65879	48.2	24	12.3
1.72E+09	SCAN	469.501292	4196.285309	48.2	24	12.4
1.72E+09	SCAN	467.678384	3033.484184	48.2	24	12.4
1.72E+09	SCAN	465.8513219	3715.330834	48.2	24	12.4
1.72E+09	SCAN	464.0280318	3886.771813	48.2	24	12.3
1.72E+09	SCAN	462.2199139	3115.419986	48.2	24	12.4
1.72E+09	SCAN	460.4303598	3258.32087	48.2	24	12.3
1.72E+09	SCAN	458.6302758	4049.218955	48.2	24	12.4
1.72E+09	SCAN	456.8453939	4055.709194	48.2	24	12.3
1.72E+09	SCAN	455.0653579	4104.399863	48.2	24	12.3
1.72E+09	SCAN	453.2985925	3967.079659	48.2	24	12.4
1.72E+09	SCAN	451.5593194	3907.42804	48.2	24	12.3
1.72E+09	SCAN	449.8205996	3941.727644	48.2	24	12.3
1.72E+09	SCAN	448.0912794	3833.217319	48.2	24	12.4
1.72E+09	SCAN	446.3584862	3545.588724	48.2	24	12.3
1.72E+09	SCAN	444.6243775	3963.524673	48.2	24	12.4
1.72E+09	SCAN	442.9112944	3948.464543	48.2	24	12.3
1.72E+09	SCAN	441.2124292	3890.591958	48.2	24	12.3
1.72E+09	SCAN	439.5312799	2099.071649	48.2	24	12.4
1.72E+09	SCAN	437.8359675	2904.567376	48.2	24	12.3
1.72E+09	SCAN	436.146939	3802.401786	48.2	24	12.3
1.72E+09	SCAN	434.4784692	3298.289028	48.2	24	12.4
1.72E+09	SCAN	432.8114786	2993.933807	48.2	24	12.4
1.72E+09	SCAN	431.1637219	3996.663433	48.2	24	12.3
1.72E+09	SCAN	429.5094543	3801.183903	48.2	24	12.4
1.72E+09	SCAN	427.8589531	4212.919437	48.2	24	12.4
1.72E+09	SCAN	426.2217799	3945.543164	48.2	24	12.4
1.72E+09	SCAN	424.5921767	3917.994334	48.2	24	12.4
1.72E+09	SCAN	422.9676606	3955.898256	48.2	24	12.4
1.72E+09	SCAN	421.3570191	4044.578665	48.2	24	12.3
1.72E+09	SCAN	419.7452795	3780.173102	48.2	24	12.4
1.72E+09	SCAN	418.1498878	4096.58691	48.2	24	12.3
